,작성자,시간,내용
976,nor1****,2022.10.08. 15:54,에휴 그러고도 국힘이라고 차라리 당적을 옮기던지 아님 혼자 딴살림차리던지 얼굴보일수록 역효과 윤대통령이 당에 본인처럼 해악을 끼쳤나?유승민씨 본인이 징계 받아야될듯요
977,tlrk****,2022.10.08. 16:01,유배신~~찌질하다. 그냥 따불당 가라~~이재명 날아가면 따불당 접수하라고~~
978,c707****,2022.10.08. 15:53,유승민 이준석은 정계에서 영원히 사라져야 할 자들이다
979,must****,2022.10.08. 15:53,"맞는말씀 입니다! 대한민국 대표 사정기관인 검찰과 경찰은, 오롯이 윤석열과 그 가족을 호위하기위해 존재하는 국가기관입니다! 윤이 검찰조직속에서 휘젓고 다닐때부터, 이미 그와 그가족은 무슨짓을 하더라도 만사형통되는 이나라 주인이었습니다! 미친 나라 입니다!"
980,inur****,2022.10.08. 15:53,유 배신자들은 스스로 떠나라 ㅆㄱㄴㄷ
981,kimm****,2022.10.08. 15:53,걸어 다니며 하는 사적 대화 중 한 말을 가지고 징계하라 유가xx. 완전 총질. 더진당 이xx보다 더 개xx기다
982,whle****,2022.10.09. 00:19,빙싱
983,sizz****,2022.10.08. 15:53,어디 동치미 없나? 자꾸 연탄까스가 스멀스멀 새어나오네
984,park****,2022.10.08. 15:53,승민이나 준석이나 공천받긴 글렇다
985,myba****,2022.10.08. 15:52,이준석 유승민 어쩜그리 똑같냐 당을 공격하고 비판하는게 그래서 지지를 못받는거다
986,cgm8****,2022.10.08. 15:52,유승민씨 탈당하고 좋아하는 개혁보수당 만드세요
987,rnlt****,2022.10.08. 15:52,"* 막말 후 서민이 보기에 벌거벗은 임금 같이 창피하고 부끄러운 윤통을 추종하는 핵관이나 간신들이 바른 말하는 유박사를 공격할 텐데, 아무튼 간신들 면면을 보고 싶다...~"
988,kjs1****,2022.10.08. 15:53,추가로 권성동도...
989,maja****,2022.10.08. 15:52,배신자 유승민과 허은아 이준석 하태경 요놈들은 민주당에 가면 혹시 콩고물이라도 얻어먹을게다.
990,kmin****,2022.10.08. 15:52,대통령을 징계하라니 참.. 곧고 훌륭한 말은 바라지 않지만 어이없는 말씀을 자제하길
991,teen****,2022.10.08. 15:52,국격을 실추시켜서 국민을 망신시킨 윤똥도 징계해야 균형이 맞지. 하긴 니들이 언제 공정한적이 있었더냐. 기대도 안하지 오래.
992,park****,2022.10.08. 15:51,삐뚤어진 행동과 마음을 바로잡고 바른길로가겠다고 하는데도 윤핵관들 권력욕에 사로잡혀 발광을 하고있는데 어느하나 나서는 인간 하나없네 오호통제라
993,obbp****,2022.10.08. 15:51,승민나 고만 좀 웃겨라
994,sams****,2022.10.08. 15:51,국힘 당헌개정이 시급하다 탈당했다 복당한 인간은 아무것도 못하도록
995,ogal****,2022.10.08. 15:51,이식기가.....나도 징계해라...꼴뚜기 날뛰고 망둥이까지...더런 것들
996,kmin****,2022.10.08. 15:51,나도 그 생각 했었는데.... 설마 대통령이라 봐주진 않겠지....? 당원권정지 3년은 줘도 될듯....
997,ismo****,2022.10.08. 15:51,유승민은 이제 아니다.. 자당이 힘들땐 의견이 덜 맞아도 조율하고 기다리고 참아가며 맞출줄 알아야하는데 이 사람은 계속 비판만 하고 당을 공개적으로 힘들게 하니... 원래는 개혁보수로 응원도 했었는데 너무 나간다... 워~~워~~ 이 준석과 함께 진정하며 때를 기다리길... 그걸 못하면 그냥 자기말 안듣는다고 깽판 치는거나 마찬가지
998,goin****,2022.10.08. 15:50,배신자 유승민과 성상납 이준석은 설땅이 없다. 탈당이 답이고 나가서 바미당 썩은 집구석이나 고쳐서 살거라
