,작성자,시간,내용
1777,dw73****,2022.10.08. 13:21,사람 고쳐 쓰는거 아님.....그냥. 이분은 배신자 분이심...
1778,yhsh****,2022.10.08. 13:21,집권여당에 속한자 중에 대통령 징계를 원하는 자가 프락치 말고 또 있나 ㅋㅋ
1779,dmsw****,2022.10.08. 13:21,유승민이 보수의 대안으로 뜨겠네. 홍준표도 정신 처려야 할껀데..
1780,qq16****,2022.10.08. 13:21,한때 지지했는데애잔 하네요정신 차리시길
1781,join****,2022.10.08. 13:21,박근혜 각하 탄핵. 증거조작으로 완성시킨 법비 써글이. 현통령 장모범죄단.... 이게 말이되냐 ?
1782,neoc****,2022.10.08. 13:21,민주당하고 찰떡 유승민. 이준석.
1783,kago****,2022.10.08. 20:31,윤리위 개들은 당분간은 주인은 안물거든. 나중에 탄핵되면 모를까.
1784,wva2****,2022.10.08. 13:20,뭐 이래나 저래나 국힘은 이미 무슨 용역깡패집단으로 보이는데 일단 그 저급한 선동이 입좀 틀어막어봐봐 ㅋㅋ 어째 말하는게 굥이랑 똑 닮아가냐 ㅋㅋ
1785,prid****,2022.10.08. 13:20,"비서실장으로 자신이 모셨던 대통령을 앞장서서 탄핵하고 문재인 정권을 탄생신킨 1등 공신 유승민이지요, 이제 어렵게 정부를 잡은 보수 정부가 겨우 100일 지났는데 벌써부터 교묘하게 비난하며 자신의 정치 지지도를 노리는 배신자 유승민이는 정말 사회불만 세력인것처럼 느껴지는 이유는 무엇일까요, 국민의힘 당대표 여론조사 지지율에서 더불어 민주당을 지지하는 세력이 대부분 배신자 유승민을 지지하므로 정부 여당 대표 선거는 배신자 방지법을 만들어야 합니다,"
1786,jeph****,2022.10.08. 13:20,너나 징계하자.
1787,rho0****,2022.10.08. 13:20,진정한 보수 정치인
1788,miss****,2022.10.08. 13:20,전 국짐속의 진정한 숨은 양심이다.
1789,m448****,2022.10.08. 13:20,대구서도인간취급 못받는사람.불쌍따
1790,jsch****,2022.10.08. 13:20,"승민아 너 같은게 있어서, 문재인 리재명 림종석 추미애 등등 이런 것들 설칠때는 입도 못벌리더니 왜 그러냐? 기회주의자 인거는 아는데 선넘지 마라"
1791,musa****,2022.10.08. 13:20,유승민 징계해라
1792,jg91****,2022.10.08. 13:20,유승민은 이미 물 건너간 정치꾼일뿐.자기 정치만을 위해 국익은 나 몰라라 당과 대통령에게 발악을 하고있군. 그럴수록 수준 낮은 민낯만 드러날뿐~
1793,gsar****,2022.10.08. 13:20,왜 정체성 안맞는당에서 욕먹고 배신자 취급 당하는지.. 민주당에 가면 딱인데
1794,9rkd****,2022.10.08. 13:20,"대통령실에서 맨날 화만내고, 참모진들 벌벌 떨면서 제대로 조언도 못하고, 지맘대로 하면서 매번 헛짓거리나 하는게 현재 윤정권의 실체다. 대한민국이 이런 수준의 국가냐?"
1795,njh0****,2022.10.08. 13:20,ㅁㅈㄷ 으로 모십시다~~~~!!!!!!
1796,xprt****,2022.10.08. 13:20,제정신이 아닌듯 자기가 민주당 소속인줄 ㅋ
1797,y3yu****,2022.10.08. 13:19,윤리위원장이하 그인간들은 용산맷돼지 딸랑이들인데 맷돼지 욕설한거는 안들리는 거지.. 안들립니다. 하고 배째라 하며 개기는 거지..국민알기로 개 돼지로 안다는 말이 틀린말이 아니다.
1798,7744****,2022.10.08. 20:48,징계안하는 이유 다 알면서 묻는 이유 눈에 다 보입니다향후 당대표 하고 싶은 맘이 다 읽혀요 읽혀
1799,choi****,2022.10.08. 13:19,"이 양반,,수위가 넘었네,,,입좀 닫아라,,,"
1800,ceoj****,2022.10.08. 13:19,유승민 이사람 안보고 살았으면 좋겠다.다음 총선에선 낙선 하는꼴 보고싶네.대구 지역구 사람들 이제 알겠죠.이런 사람이 어떻게 국회의원 입니까.박근혜 그렇게 만든것도 부족해서 또다시 흔들어서좌파에게 정권을 넘길려나.정말 민주당 2중대 같은 사람이다
1801,sbs7****,2022.10.08. 13:19,석열이성동이둘다잡아다족처야지
1802,gemh****,2022.10.08. 13:19,과거 악질적인 독재자가 세뇌 하나는 잘 시겨났네 그 독재 잔당들이 그걸 보수라 생각하는 얼치기 수구들 당에서 바른말 한 번 했다고 당 대표를 쫓아내는 그런 해괴한 집단이 어디 있나 많은 국민이 보고 있는데 손바닥으로 하늘을 가릴려하면 탈이 나는 법이다
1803,cys5****,2022.10.08. 13:18,이러니 대통령 하려고 하는거다 법을 어겨도 욕지거리를해도 누구하나 손 못대자녀
1804,2377****,2022.10.08. 13:18,이사람 보면 배신이 떠오르고 대통 깜량이 절대 아니란 사실~~~
1805,mihy****,2022.10.08. 13:18,팩트 : 이xx 라고 한 적 없다.
1806,miss****,2022.10.08. 13:18,찌질이
1807,deco****,2022.10.08. 13:18,오랜만에 공감하는 발언입니다정치에 연륜과 경험이 약도 되지만 독도 뎐다는 사실 너무 감과 당의 정서에 중대사를 그르치는 일이 없길 바랍니다 반대의견도 때로는 해당행위도 안고 가는 포용력있는 형님정당이 되길 바라며 좁쌀정치는 제발 대통령도 자신을 잘 돌아보길 바랍니다
1808,sym7****,2022.10.08. 13:18,배신자는 왜 징계안하냐? 민주당이 어울린 놈 잘못된 만남
1809,ungt****,2022.10.08. 13:18,막말은 누구나 징계해라
1810,kevy****,2022.10.08. 13:18,그럼 너처럼 당내부총질에 분탕치는건 왜 징계안하냐? 나가서 만진당을 가던 똥바른정당 창단을 하던 꺼져줄래...
1811,pkh0****,2022.10.08. 13:17,"유승민 한일은 박근혜 탄핵시키고 자기가 대통령 해보겠다고 나선일 외에는 생각이안난다 그리고 그때도 분당질 지금도 분당질 자기당에서 나온 대통령이 마음에 안들더라도국가를위해서 협치하며 정치해야지 오로시 자기정치만 할려고드는 유승민, 이준석 그만 좀 해라 국민들 피로감에 미치겠다 개떡같은 놈들"
1812,mige****,2022.10.08. 13:17,공정도 상식도 아무것도 없는 개고기
1813,nanp****,2022.10.08. 13:17,맞는 말씀....굥의 공정은 쿙과 거니만을 위한 것
1814,guj0****,2022.10.08. 13:17,점점 좋아지는데? 이런분이 대통령했어야
1815,p590****,2022.10.08. 23:31,왜종 유승민 접지럴하는늠 - - - - 자라는 아이덜 본 볼까 두렵다 쩍바리넘
1816,nice****,2022.10.08. 13:17,맞는말씀 징계해라아니면 당 망한다
1817,minr****,2022.10.08. 13:17,윤석렬씨 무서워 하겠소!!!!
1818,ms01****,2022.10.08. 13:17,유승민 응원하는 인간들 알고보면 연쇄전과4범 리죄명 추종자들 ㅋ
1819,dksr****,2022.10.08. 13:16,도찐개찐
1820,sung****,2022.10.08. 13:16,2짝들은. 몰 라. 개대지
1821,udt5****,2022.10.08. 18:10,은퇴 아직도 안했냐? 준석이손잡고 나가~~
1822,hsyi****,2022.10.08. 13:16,유승민 그만 꼴갑 떨어라. 윤석열 욕하고 다니면 니가 국힘에서 앉을 자리가 있을까? 정권교체하자마자 욕부터 해대는 너의 정치력은 밴댕이 소갈딱지다.
1823,mora****,2022.10.08. 13:16,윤석열 대놓고 비판한 보수는 유승민밖에 없음 남들 눈치볼때 할말하는 유승민 응원함
1824,syh3****,2022.10.08. 13:16,바른말 제되로했구먼 박수보네리다
1825,nhch****,2022.10.08. 13:16,그기서 선동질 하는 놈은 누구고 그기에 찬성하는 놈들은 누구냐 국회의원 뱃지가 그렇게 탐나나 국민을 배신해 가면서 권력놀음 짓 하니 그렇게 좋냐 이제 신물이 난다 분명히 기억한다 이런 짓을 한 놈들 이제 노골적으로 사람을 쫒아 내네
1826,choi****,2022.10.08. 13:15,증세없는복지는 허구이듯이 윤석열징계없는 이준석징계는 편파 내로남불이다
1827,leeg****,2022.10.08. 13:15,배신의 정치는 언제나 겉돌뿐이다
1828,jit0****,2022.10.08. 13:15,전해들은 말이라 확실하지도 않고 사적으로 이야기 한 거 잖아요. 그게 방송이나 SNS 로 이야기 한 것과 같나요
1829,07se****,2022.10.08. 13:15,한번배신자는 또배신한다 이준석 유승민2넘은 배신의 아이콘이다
1830,akfq****,2022.10.08. 13:15,"이준석은 자기 당 사람에게 욕설을 해서 내부분탕과 막장 인성의 소유자고, 따블당에게 ××하는 것은 욕을 들어도 되는 집단이잖아! 유도 이준석과 같은 인성을 가져서 판단도 못하나?"
1831,xphe****,2022.10.08. 13:15,확실히 유승민은 윤석렬 싫어하네..윤핵관인 은혜한테 경선져서 그런가?ㅎㅎㅎ
1832,bch0****,2022.10.08. 13:15,국짐아..윤가 감쌀수록 너네한테 득 될거없다..너네당에서 윤가만 아니면 무조건 오케이 해줄테니 제발 바꿔줘 좀..부탁이다..너네가 봐도 대통령 같지않고두둔해주는거에 자괴감들지?ㅎ
1833,ssu8****,2022.10.08. 13:15,너무 열내지 마소 아메바들 한테 말해봤자 입만 아프요
1834,1207****,2022.10.08. 13:15,"대통령실이나 국짐당이나 하나같이 윤써글 놈 비위 맞추고 아부하기 바쁜데, 용기있고 소신있는 발언에 박수를 보냅니다.."
1835,hwan****,2022.10.08. 13:15,전정권 민주당 관련해서는 말한마디 못하고 조용하잖아
1836,dobi****,2022.10.08. 13:15,"유승민 개자~스가, 당원들이 너더러 윤통 까지 마라 잔아, 그게 당원들의 명령이야"
1837,gim3****,2022.10.08. 22:46,정계은퇴한다고하지않았나?
1838,zune****,2022.10.08. 13:15,뭔 빌어먹을놈의 당이 바른소리만하면 배신자라고 부글부글. 사이비광신당이냐
1839,dshw****,2022.10.08. 17:42,사석에서나 잠꼬대로 아×× 한번도 안한 나가 개인적으로 벌을 줘라
1840,kimc****,2022.10.08. 13:14,문재앙 2탄 윤종말
1841,yhs2****,2022.10.08. 13:14,승민아 그런 논리가 국힘당한테 먹혔다면 예전에 사라져겠지. 그런 논리가 지지자한테 먹혔다면 지금 국힘당이 존재하지 않겠지. 그런 논리를 이준석도 동감한다면 당 개혁부터 하겠지. 이러니깐 내가 보수를 절대로 지지 못한다.
1842,kejm****,2022.10.09. 12:10,유배신이 ㅇㅣ준돌 스승답네 ..ㅋㅋ
1843,jusi****,2022.10.08. 13:14,이양희는 1년뒤 임기끝나고 총선때 백퍼 공천받을꺼다.ㅎ
1844,nyjk****,2022.10.08. 13:14,윤석열 막말이 국격을 떨어뜨리고 나라 망신에 국회를 모독했는데~ 국힘 윤리위린 천박한 욕쟁이 윤석열을 징계하라~ 징계하라~ 부끄럽고창피해서 못살겠다
1845,miye****,2022.10.08. 13:14,국회의원들 또는 당에 포함된사람들 ..이름뒤에 당원으로 불려야 되는지... 본인얼굴에 똥칠 하는 겁니다..예의는 지키고 할말해줬으면 하는 생각...
1846,bryc****,2022.10.08. 13:15,배신자들은 왜 징계 안할까?
1847,beer****,2022.10.08. 13:14,비겁한 배신자들은 그 씨를 말려라...
1848,yjh1****,2022.10.09. 10:08,왜 배신자 프레임에 갇혔는지 알겠다ㆍ 딱하다ㆍ열등감에 사로잡혀 자기가 속한 위치까지 망각한 자다ㆍ이준석과 행태가 너무 똑같아서 끼리 끼리 논다더니 딱 맞다
1849,plm4****,2022.10.08. 13:14,제2의 이준석 나타났다 징계위원회 열어야지 정말 바른말 하는 사람이다 틀린말 하나도 없네 욕한놈은 징계하지 않고 사자성어 한번 썼다고 징계하는 이 파렴치한들 유의원도 얼마 안있어 징계 당하겠네 그 더러운 소굴에서 벗어나 신당을 차려라 지지할 사람 얼마든지 있다 파렴치한 당보다 훨씬 낫겠다
1850,kevi****,2022.10.08. 13:13,반려동물 하고 사람이 같나.... 같은 짓 그만하시고 그리 마음에 안들면 뒤에서 욕하고 불평하지 말고 나가서 떳떳하게 신당 창당해라
1851,bbsb****,2022.10.08. 13:13,맞는소리
1852,chss****,2022.10.08. 13:13,이제 좀 그만 합시다!
1853,usti****,2022.10.08. 13:13,도리.국짐.지지하는것들은 도대체대가리에뭐들었을까~~~ㅋㅋ
1854,wodn****,2022.10.08. 13:13,"내부총질 찌질이짓 그만하고, 국힘당에서 나가서 창당해서 그냥 색준이랑 같이 마이크 잡고 떠들어라."
1855,sinl****,2022.10.08. 13:13,여기서 유승민을 배신자라하는 국힘 메니아님들 허면 썩열이는 뭠니까 천하에 이런배신자가 있씀니까 어쩌다 배신자가 대통령되서 속은 편안들 하신지 당신들은 천하의 배신자를 당신들 두목으로 받들면서 숫하게 배신한 인간을 두목으로숭배하며 있고 근혜씨를 쫒아내는데 앞장선 윤해콴들을 받들면서 유승민을 배신자 허면 국히에 배신자 아닌놈이 누구란 말이뇨
1856,kimb****,2022.10.08. 13:13,썩은 검찰의 뽄세 아닐까 한다.... 나라 멸망의 기원이쥐...ㅉㅉ
1857,woah****,2022.10.08. 13:14,배신자 승민이가 준서기이어 당 분탕질 하러 나왔네. 너나잘해라 싹퉁머리.나가던지 꺼지던지 해라. 넌~ 안돼
1858,xphe****,2022.10.08. 13:13,윤통이 당원들 한테 하는 말이냐? 넌 당원들 의 정점인 윤통을 지금도 까고 있는 해당 행위를 하고 있는 거야
1859,kil9****,2022.10.08. 13:13,유승민 주딩 닥치구. 가만히좀 있어라...
1860,nyjk****,2022.10.08. 13:13,맞는말이네
1861,rowm****,2022.10.08. 13:13,"허접한 윤정권이 패자고 이준석이 진정한 승리다,,역사에 주홍글씨는 윤정권과 윤리위다"
1862,jjoy****,2022.10.08. 13:13,승미니부터 처내라
1863,bj23****,2022.10.08. 17:48,"진정한,합리적인 보수!"
1864,nayu****,2022.10.08. 13:13,"국민이 부여한 대통령이란 공적인 지위로, 나라를 대표해서, 해외 외교 행사에, 공적 업무 수행 중이었는데도, '사담'이라고 쉴드치다니 ㄷㄷㄷㄷㄷ"
1865,323h****,2022.10.08. 13:12,"그게 해당 해위냐? 당원들은 그 단어에 절대 실망하지 않어, 너 같이 당원들을 ㅈ가치 아니까 이런 식으로 윤통을 까지"
1866,100n****,2022.10.08. 13:12,보청기뺀국짐당이 무슨소리가 들릴까. 그냥 거짓과 선동질 고발고소 엄중경고 미국엔막말 국군의날엔 시진핑께 중국장갑차 보여드리고 일본엔 쫓아다니며 납짝엎드려 굽신
1867,ctaj****,2022.10.08. 13:12,본인이 안 했다고 하는데 전라도당 홍어들 말을 믿고 자기당 말은 못 믿어 준석이랑 당 만들어 니 혼자 다 회쳐묵어라 ~~~
1868,sf11****,2022.10.08. 13:12,이 세기 뭐지? ㅋㅋ 이해력이 딸리는건지 .아군인지 적인지
1869,teng****,2022.10.08. 13:12,나가서 신당차리고 돌아오지마라~~~!!!
1870,hmk4****,2022.10.08. 13:12,준석이는 안철수보고 x신이라 해놓고 사석에서한 발언이라 괜찮다는데 승민아 왜 이런건 지적 못 하냐?? 입에 담지못할 욕한 재명이한테 한마디라도 한적 있어? 너같은 기회주의자는 정치하면 안되지
1871,111s****,2022.10.08. 13:12,저희 할아버지께서도귀여운 자슥 들에게 이새끼 저새끼 라고 하시던데요
1872,watc****,2022.10.08. 13:12,"승미나, 거짓말이 입에 발린 개고기 XX라 윤리적 잣대가 무의미 하자나~"
1873,zxcq****,2022.10.08. 13:12,왜?!박근혜탄핵했던 것처럼 또 배신하려고?!그만해라!!!
1874,sbji****,2022.10.08. 13:12,유승민이 차기 총선대비해서 강하게 나가는구만..어차피 차기총선에서 윤짜장 탈당하라고 선을 그을테니..
1875,aire****,2022.10.08. 13:11,옳은말하면 당에 찍히고 배신자 취급당함. 당에 헌신한 홍준표도 그렇게 버려지는데 유승민 이준석은 오죽할까
1876,eyes****,2022.10.08. 13:11,문재앙 찢재명 까면 대통령 밀어줄께 .... 민주당한텐 입도 뻥긋못하는 놈이
1877,bmw7****,2022.10.08. 13:11,그래도 살아있는 보수다
1878,jbs2****,2022.10.08. 13:11,국힘은 분탕질하는 유승민 왜 징계 안하나?
1879,hueb****,2022.10.08. 13:11,국민의 짐이 그렇지 뭐. 국민들 ㅈ ㅓ ㅈ ㄱ ㄱ ㅏ
1880,miye****,2022.10.08. 13:11,맞말이네! 국짐에서 그나마 정상적인 1인이니 여조 차기 국짐주자 1위 나오지
1881,kil9****,2022.10.08. 13:11,공과 사잖아 윤통은 사담 이준석은 공적으로한게 차이점이지 그리고 윤통은 대통이기때문에 임기마친뒤에 처벌받을수있는거잖아 그것도 사담인데 처벌꺼리가되냐 세계적 망신이라는데 그건 악의적유포한 mbc와 죄불당 인사들 좌파 언론때문에그런거잖아 그리고 상대는 괜찮다잖아 전용기도 그러더구만 그만화가 표졀아니라는데 국힘에서 자꾸 그런다고 작가가아니라는데 근데 더 웃긴건 좌파들 망신 외교실패라고 우기잖아 그럼 상대국도 아니라고히는데 좌파들은 왜 그렇다고 우기냐 자기들것은 미화하고 남의것은 악질이라고 우기니까(폄하) 진짜 웃기는 십전대보탕들이다
1882,ueom****,2022.10.08. 13:11,임마 쓰레기였네 이런놈 이였구나.
1883,hees****,2022.10.08. 13:11,당원들이나 보수에게 존재감이 없는 유승민은 왜 이 당에 남아있을까.배신자란 주홍글씨때문에 당대표는 불가능하다.
1884,kore****,2022.10.08. 13:10,돌았구나.... 그 발언 했다는 근거가 뭐냐?
1885,hari****,2022.10.08. 13:10,징계말고 탄핵으로~~~ㅋ
1886,judi****,2022.10.08. 13:10,윗물이 맑아야 아랫물도 맑다~ 윤xx은 사과해라~~ 사퇴하라~~
1887,khc4****,2022.10.08. 13:10,응 넌 그래서 안되는거야 내세울꺼라곤 예쁜 딸 밖에 없는 상습 배신자야
1888,blac****,2022.10.08. 13:10,입에서 젖내가 나는 인간 넌 보수에서 영원히 아웃
1889,qkrd****,2022.10.08. 13:09,먼소리야? 그건 같은 당원일때 말하는거고 민주당사람이 왜 국민의힘에 관여하지? 민주당당대표한테 말좀해봐
1890,shyu****,2022.10.08. 13:09,당이 힘들땐 짱박혀 있다가 내부총질엔 앞장서는 인물! 저런 인물이 대통령하겠다고 설치다니.... 주제파악이 안되네
1891,miye****,2022.10.08. 13:09,유승민 징계는 안하나
1892,xphe****,2022.10.08. 13:09,ㅍ명신 2찍들....멍청한 윤짜장은 뽑고....똑똑한 경제박사 유승민을 배척하다니....결국 30%중 지역감정표를 제외한다면 극우가 2찍을 지배하고 있다는건데.....정신차려라~~보수가 나쁜건 아니다. 극우에 끌려가니 나쁜거다. 유승민박사 똑똑한분이다
1893,mpno****,2022.10.08. 13:09,오늘도 문재앙의 사냥개 윤뻐커와 권성동과 장제원 등 박근혜 탄핵파 애들의 개가 되어 유승민을 배신자라고 까는 대깨윤 틀니들
1894,khc4****,2022.10.08. 13:09,유승민이 진짜 깨끗한 보수
1895,smal****,2022.10.08. 13:09,찬성입니다 윤리위는 누구를 위해 존재하나 당원 모두에게 공평해야지요
1896,card****,2022.10.08. 13:09,맞는말 잘하심
1897,onan****,2022.10.08. 13:09,"뻔뻔스런 두놈의 얼굴이 아직도 지면을….. 아닥하고, 배신의 정치나 반성해라"
1898,min1****,2022.10.08. 13:08,"꼴통당 에도 양심이 있는사람도 있구만 전부 개 돼지만 있는줄알았는데 ,,,,,"
1899,yin8****,2022.10.08. 13:08,윤뻐커 패밀리는 굿힘에서 징계말고 국민이 징계해야지. 탄핵.
1900,qkrd****,2022.10.08. 13:08,배신자 미친개. 준스톤하고 나가서 당차려라. 따라올 또라이가 있겠냐만은.
1901,sjyi****,2022.10.08. 13:07,제발 정신쫌 차리소!!
1902,lmy4****,2022.10.08. 13:07,ㅋㅋ같은편이 때릴수록 더 인기높아지는거 아는사람ㅋㅋ 보수도 아닌데 굳이 국힘에 기어들어옴ㅋㅋㅋ
1903,kil9****,2022.10.08. 13:07,공신력있는 곳에서 정확하게 판명좀 해라 이런 논란좀 해결하게 ..별 시덥잖은 거로 자국에서만 난리네 ..유승민은 소속이 만져당인가 ??
1904,comt****,2022.10.08. 13:07,민주당에 요구 하세요 이재명대표 욕은 xx정도는 욕도 아니다
1905,kks5****,2022.10.08. 13:07,윤대통령은 욕을 달고 살아서 주변에서 그려려니 함
1906,zami****,2022.10.08. 13:07,국민의 힘어 언제부터인가 떡검의 힘으로 변질되가면서 당 전면에 검찰들이 나선결과.
1907,bin0****,2022.10.08. 13:07,"능미나, 니는 배신자로 낙인찍힐때 장사 끝났느니라.. 에라이~~"
1908,nb14****,2022.10.08. 13:06,준석이랑창당해라
1909,choe****,2022.10.08. 13:05,참보수! 이런 상식적이고 제대로 된 인물을 욕하는곳이 국짐
1910,nsk8****,2022.10.08. 13:05,공개적으로 대놓고한거랑 혼자사담으로 나온말하고 같나요? 유승민씨 분간할줄모르나?
1911,cleo****,2022.10.08. 13:08,불쌍한 양반 남에 흉 이나 뜻으려하니 하수지..ㅉㅉ
1912,heon****,2022.10.08. 13:05,오프더레코드와 온더레코드를 구분못하는 정치인!
1913,alon****,2022.10.08. 13:05,징계 드가즈아~~~*
1914,chan****,2022.10.08. 15:32,떠나라 정치계 뮐 징계 해
1915,kimy****,2022.10.08. 13:05,유승민 분탕질 치지말고 준돌이랑 손잡고 창당을 하든지 더듬당으로 가든지 해라
1916,mik7****,2022.10.09. 10:32,윤석열은 왕이니까 그렇지 ㅋ 거짓과 사기의 왕
1917,moum****,2022.10.08. 13:05,성접대 징계는 반발하고 욕하니 추가징계지ㅉㅉ
1918,ever****,2022.10.08. 13:04,아 유승민 이제 너도 다 되었구나
1919,yeda****,2022.10.08. 13:04,맞는 말이요
1920,cleo****,2022.10.08. 13:08,유승민 이준석 두분이 힘을 합쳐보세요 그림은 좋을것같아요
1921,ckd_****,2022.10.08. 13:03,그건 사담이지.이준석처럼 동네방네에 대고내부총질하냐?끼리끼리라고
1922,jooa****,2022.10.08. 13:03,제명시키라. 배신의아이콘
1923,caro****,2022.10.08. 13:03,정말 더러운 인간 유승민... 니는 돈을 먹은 거냐? 아님 북한에 약점이 잡힌거냐? 난 정말 그게 알고싶다!
1924,hell****,2022.10.08. 13:02,넌 하는게 뭐가있냐? 존재감도 없는주제에 육갑떨고있네.
1925,gago****,2022.10.08. 13:02,배신자 계속 짓어라 국힘도 참 딱하다 이런 인간들이 내부에서 분탕질 하니까 단합이 안되지 생각이 다른것과 사상 신념이 다른건 하늘 과 땅 차이다 저인간은 민주당 계열이야 계속 당내에 있으면 계속해서 분탕질 할거고 분란만 생길거다 하루빨리 제명 시켜라
1926,jmsk****,2022.10.08. 13:02,"나라꼴이렇케만들어놓고배신자래.떨거지들같으니.손가락이나잘라라,"
1927,reca****,2022.10.08. 13:01,이 비열한 인간아 사적으로 지나가면서 한말을 거기다 비교하냐? 이준석은 당대표라는 직함을 갖고 공식적으로 당과 대통령을 욕보였어 이 비열한 배신자야 민주당으로가라
1928,ruda****,2022.10.08. 13:01,너랑 준서기랑 나가서 창당해라~피는 어쩔수없네
1929,iees****,2022.10.08. 13:01,분탕질 이인간때문이라도 재창당해야할듯..안그럼 총선에 또 망함
1930,nann****,2022.10.08. 13:01,유승민은 민주당!!
1931,your****,2022.10.08. 13:01,자식이 욕이가? 그래따지면 국회에 남아있을 것들이 있겠나?
1932,denk****,2022.10.08. 13:00,너들은 민쥐당의 뻐꾸기들이다. 준석이 데리고 나가라
1933,alwa****,2022.10.08. 13:00,수구꼴동 진짜빨개이 국짐당넘들 광분하네
1934,plk2****,2022.10.08. 13:00,그나마 보수다운 말씀 하시네
1935,bass****,2022.10.08. 13:00,좌빨의 눈으로 세상을 보면서 몸은 보수에 있는 간재비..
1936,6545****,2022.10.08. 13:00,유승민 이준석 거지발싸개만도 몬한 촉새들
1937,xkag****,2022.10.08. 13:00,아재요 고마하소 추하요
1938,hjh8****,2022.10.08. 12:59,"신당 창당가자! 정통 보수당 창당하여 가짜 쓰레기 적폐세력당, 일베, 태극기, 늙다리당 박멸하자!"
1939,pcj9****,2022.10.08. 12:59,머슴들이 주인의잘못을 어찌 논할까 감히 머슴들이 주인의 잘못을 눈감고 감추고 그래야지 어찌 주인의허물을 논할수있설까
1940,kevi****,2022.10.08. 12:59,아닥좀하고잇어라밥맛이다너는딱그정도인성
1941,chan****,2022.10.08. 15:32,배신자
1942,ssyj****,2022.10.08. 12:58,"이 XX라고 말했다는 근거도 없고, 상대한테 직접적으로 한 말도 아니니까.. 성스톤은 기자들한테 대놓고 한 말 아니냐? 이런 것도 설명해 줘야 하냐?"
1943,yama****,2022.10.08. 12:58,배신자 개승민 주댕이 놀릴자격없다 보수를갈기 갈기 찌저놓고 탄핵주동하여 문정권1 등공신자 탄핵이없으다면 더듬어만진당이 어찌170석이 가능한가 배신자는 정치생명끝이야
1944,p400****,2022.10.08. 12:58,입닫아배신자
1945,jmch****,2022.10.08. 12:57,"맨날 뭐만 하면 정당한것처럼 부연하고자 헌법타령하는데 오프더레코드로 욕이 나오는거랑 오피셜로 해당행위하는 거랑 동일시하는게 정상인가요? 배울만큼 배운분이 눈가리고 아웅하시네요. 아 그 전대표도 정당한것처럼 위인 명언, 영화 대사만 줄창 인용하죠? 누구한테 배운건지 알것같기도 하네요."
1946,gono****,2022.10.08. 12:57,왜 또 기어나가서 처발리고 합당 징징 하려고? ㅋㅋㅋㅋ
1947,crom****,2022.10.08. 12:57,"정치 그따위로 하지마라...니편 내편....똥오줌도 못가리며, 무슨 국민들 미래를 책임지냐"
1948,sukj****,2022.10.08. 12:57,맞아맞아 ㅎㅎ
1949,qaz9****,2022.10.08. 13:34,이완용같은 nom
1950,hkle****,2022.10.08. 12:56,유가는 야당에서 밖에기르는 푸들이었구나. 그곳에서도 총을 내부에 대고 갈기고 칼꽂을건가.? 양다리 걸치기의 끝을보겠다.
1951,ju70****,2022.10.08. 12:56,이xx. 죽x 버리고 십다
1952,khw7****,2022.10.08. 12:56,저놈 민주당놈이 국힘은 머하러 입당해서 분탕질이냐 저놈 생긴데로 논다
1953,warf****,2022.10.08. 12:56,유승민님 말이 백번 옳습니다 ㆍㆍㆍㆍㆍㆍᆢㆍㆍ윤석열 당원 ‘이XX’ 발언은 왜 징계 안 하나”?
1954,yaag****,2022.10.08. 12:56,맞는말 햇네
1955,tim_****,2022.10.08. 12:56,이 개는 잊을만하면 겨나와
1956,vkeh****,2022.10.08. 12:56,유가야!제발지구를떠나거라.배신자는갈데가없다
1957,kyj0****,2022.10.08. 12:56,지놈은 새털보다 더 가볍게 말하고 행동하면서 남들보고는 강철같이 무겁게 행동하란다. 비아냥거리고 시도때도없이 깐죽거리고 교활한자가 선전선동만 일삼고있다. 그런데 이런 싸구려 선동에 넘어간 일부 2030젊은 남자들도 이제는 이자의 실체와 본질을 알았을거다. 2030젊은 남자들에게 일정지분을 가지고 있는것처럼 행동하고 다녔지만 이 역시도 빛좋은 개살구 허울에 불과했다. 현란한 입놀림으로 흥한자 반드시 그 입에 망한다. 두고봐라
1958,kyou****,2022.10.08. 12:55,윤석렬과 그지지자들하는 짓거리들보면 욕하고 거짓말하고 다니는 문제아이를 훈육하지않고 잘한다잘한다 칭찬하는 무개념 부모와 같다.
1959,kghu****,2022.10.08. 12:55,제발 민주당과 좀 싸워봐라 살다살다 이런 골칫덩어리들 첨보네 본인이 국힘당에 소속을 두고 있으면서 준서기나 유승민은 눈만뜨면 같은당 공격하느라고 세올가는줄 모른다 이래놓고 선거때 공천안준다고 또 쥐롤하겠제
1960,chan****,2022.10.08. 15:32,"박대통령 배신하고 탈당 후 바른정당에, 경기지사패배후 방콕에, 준똘이 바톤터치 내부총질에, 이런 놈을 받아 준 국힘은 지조도 없는 걸레 정당인가? 벌써 준똘이 유배신을 당대표 옹립하기 위해 당원가입과 탈당유보를 외치고 있다. 배신자 정리해야한다."
1961,mira****,2022.10.08. 12:55,아무리 나대도 별수없는데 ..좀자중하지..ㅉ
1962,neob****,2022.10.08. 12:55,국힘에 깨어있는 정치인이 계시네.
1963,ez52****,2022.10.08. 12:54,니같은거 한테 말 섞는것도 퉷
1964,iori****,2022.10.08. 12:54,승민아..넌 어디가나 변질된 고추가루야..그냥 탈당하고 맘맞는넘들끼리 당만들어가고 해
